CharityName,CharityCountry,CharityCity,Topic,ProjDate,Volunteer,VolunteerCountry,VolunteerCity,URL
Stanford University,United States,Stanford,Gender Equality,2017-01-01,Ann Jackson,United States,Arizona,https://public.tableau.com/profile/ann.jackson#!/vizhome/WiDSConferenceMap/NoText
Stanford University,United States,Stanford,Gender Equality,2017-01-01,Lee Durbin,New Zealand,Auckland,https://public.tableau.com/profile/lee.durbin#!/vizhome/SETequality/AnUnequalSET
Stanford University,United States,Stanford,Gender Equality,2017-01-01,Divya Bharathi,India,Bangalore,https://public.tableau.com/profile/divya.bharathi#!/vizhome/ChallengesforwomeninSTEM/IncreaseWomeninSTEM
Stanford University,United States,Stanford,Gender Equality,2017-01-01,Athan Mavrantonis,Ireland,Dublin,Image only
Stanford University,United States,Stanford,Gender Equality,2017-01-01,Pooja Gandhi,United States,New York,https://public.tableau.com/profile/poojagandhi#!/vizhome/WiDSRegionalEventLocations-VizForSocialGood/WiDS
Stanford University,United States,Stanford,Gender Equality,2017-01-01,Chloe Tseng,United States,San Francisco,https://public.tableau.com/profile/chloe#!/vizhome/VizForSocialGoodWiDSRegionalEventLocations/WiDS
Stanford University,United States,Stanford,Gender Equality,2017-01-01,Amalie,Unknown,Unknown,Image only
Stanford University,United States,Stanford,Gender Equality,2017-01-01,Damie Pak,Unknown,Unknown,Image only
Stanford University,United States,Stanford,Gender Equality,2017-01-01,Chantilly Jaggernauth,United States,Washington DC,https://public.tableau.com/profile/chantilly.jaggernauth#!/vizhome/TheUnder-RepresentationofWomeninSTEMFields/MainDashboard
Stanford University,United States,Stanford,Gender Equality,2017-01-01,Pragyansmita Nayak,United States,Washington DC,https://public.tableau.com/profile/pragyan#!/vizhome/VizForSocialGood-WiDSJan2017/Story-WiDS
UNICEF,United States,New York,Children and Youth,2017-01-01,Amanda Patist,Netherlands,Amsterdam,https://public.tableau.com/profile/amanda.patist#!/vizhome/VizForSocialGood-UNICEF/Unicef
UNICEF,United States,New York,Children and Youth,2017-01-01,Divya Bharathi,India,Bengaluru,https://public.tableau.com/profile/publish/UNICEF-ChildRefugeeandMigrantCrisis/Helpthem#!/publish-confirm
UNICEF,United States,New York,Children and Youth,2017-01-01,Ivett Kovacs,Hungary,Budapest,https://public.tableau.com/profile/yvette#!/vizhome/Unicef-Uprooted/Uprooted
UNICEF,United States,New York,Children and Youth,2017-01-01,Michael Mixon,United States,Gig Harbor,https://public.tableau.com/profile/mtmixon3894#!/vizhome/TheRefugeeBan/RefugeeBan
UNICEF,United States,New York,Children and Youth,2017-01-01,John Heisler,United States,Grafton,https://public.tableau.com/profile/john.david.heisler#!/vizhome/MigrationByAge/GenerationsDisplaced
UNICEF,United States,New York,Children and Youth,2017-01-01,David Pires,United Kingdom,London,https://public.tableau.com/views/Unicef/UnicefForEveryChild?&:showVizHome=no#11
UNICEF,United States,New York,Children and Youth,2017-01-01,Subha Yoganandan,United Kingdom,London,https://public.tableau.com/profile/subha.yoganandan#!/vizhome/TheGrowingCrisisforRefugeeandMigrantChildren/TheGlobalPerspective
UNICEF,United States,New York,Children and Youth,2017-01-01,Adam Crahen,United States,New York,https://public.tableau.com/views/unicefforeverychildVizforSocialGood/Children?:embed=y&:display_count=yes&:showVizHome=no
UNICEF,United States,New York,Children and Youth,2017-01-01,Corey Jones,United Kingdom,New York,https://public.tableau.com/profile/corey.jones#!/vizhome/TrumpBan/Dashboard1
UNICEF,United States,New York,Children and Youth,2017-01-01,Pooja Gandhi,United States,New York,https://public.tableau.com/views/UNICEF-VizForSocialGood/UNICEF-VizForSocialGood?:embed=y&:display_count=yes&:showVizHome=no
UNICEF,United States,New York,Children and Youth,2017-01-01,Shawn M. Levin,United States,Philadelphia,https://public.tableau.com/views/UNICEF_5/SouthSudan?:embed=y&:display_count=yes&:showVizHome=no
UNICEF,United States,New York,Children and Youth,2017-01-01,Lilach Manheim,United States,Phoenix,https://public.tableau.com/profile/lilach.manheim#!/vizhome/UNICEFdashboard/UNICEFdashboard
UNICEF,United States,New York,Children and Youth,2017-01-01,Brit Cava,United States,San Francisco,https://public.tableau.com/profile/brit4337#!/vizhome/UprootedTheChildRefugeeCrisis/UprootedTheChildRefugeeCrisis
UNICEF,United States,New York,Children and Youth,2017-01-01,Chloe Tseng,United States,San Francisco,https://public.tableau.com/profile/publish/VizForSocialGoodUNICEFChildRefugees/VizForSocialGoodUNICEFChildRefugees#!/publish-confirm
